intentId,contestId,candidateId,amount,status,createdAt
DYtdt6kj8mAL2IACCpsu,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T09:08:27.826Z
DdCGoLjUluOyr2KAp8FF,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T22:24:31.110Z
DlK2lWeRhRZWqhj4xHvk,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-17T07:19:47.166Z
DnUYMYUd2QeUsSw440Fd,votes-artistes,R3DRrtGPGfw8jsQxG4r8,10000,pending,2025-12-15T19:00:30.896Z
DrwVDpcCQUWQrLvZIX2r,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-15T09:45:02.161Z
DwS7ha3G3k9yLPVE9Z2l,votes-artistes,aUt5Vh29CsUcstBHEF8H,100,pending,2025-12-15T18:20:11.811Z
DzAZZ9KpcvvBlqHbPwPP,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T22:09:24.244Z
DzYugKB6FK8PKcTdxoQg,votes-artistes,RIAr7Uw1uo74gAhWWM9c,2000,pending,2025-12-17T19:23:06.542Z
EIdtPgXbYzkMRI8RKWQl,votes-artistes,oucOMPgDKDQR8GKDvFHJ,8000,pending,2025-12-18T19:25:55.108Z
EMeuB86nHF5Eg0kaIHXw,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-16T07:55:47.486Z
EP8B63gghUVxgSXOxEmR,votes-artistes,GEVWzgnMyTnavWjEa6pg,1000,pending,2025-12-16T03:48:24.231Z
EQ9EO7ZJF744UfdYl3oS,votes-artistes,TXBLgEfug2LJqx5MXWe4,1000,pending,2025-12-17T17:38:50.346Z
EgWBxeaRP1jnofvVWrO4,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-19T09:46:36.270Z
EojClbAaIteNKt0xHp4F,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-16T14:35:18.677Z
F2sAV4TbykG42X9MBuIx,votes-artistes,RIAr7Uw1uo74gAhWWM9c,500,pending,2025-12-18T16:01:35.802Z
F4nQB7rq5bHe3H6nt6OO,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-16T21:23:35.824Z
F8H9aO2vZoq5TaSuqoi1,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-20T08:49:32.275Z
FAtS26180D89sb0uyuWn,votes-artistes,THSoBfgsHaDLamNs758L,3000,pending,2025-12-19T13:26:28.896Z
FC2R6XOR7D4IsrtC6tAB,votes-artistes,81cTWJpXQxqb1LcEQ9Nd,100,pending,2025-12-16T07:50:42.327Z
FI5dS60aDOl7p96xx8Pu,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-16T17:49:46.228Z
FJQBswPJxS5mkghaM72X,votes-artistes,RIAr7Uw1uo74gAhWWM9c,5200,pending,2025-12-15T10:40:27.243Z
FOXlnBHZUzcpxj7Ep6P8,votes-artistes,lrK8tSxZpQPYFTmIF7On,100,pending,2025-12-20T07:04:51.726Z
FQCzoNPDMHXw7n8feFY6,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T08:01:38.094Z
FXr3lN92k3rhvvBK0Xdf,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-16T07:31:44.903Z
Fb5KDoBPvsU72nT6LMJc,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T19:13:02.502Z
FcVrGF2KQPbFtQ7qFy7E,votes-artistes,8dxIvMVLsBZNKKBQiNFE,100,pending,2025-12-16T07:36:12.402Z
FchSP5ZYRjOFJotxHs9P,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T15:30:27.691Z
Ff2meV4D5YIgO1OnMZq0,votes-artistes,oucOMPgDKDQR8GKDvFHJ,500,pending,2025-12-19T20:57:06.037Z
Ff8MMCkctUwG2OomVgRv,votes-artistes,lrK8tSxZpQPYFTmIF7On,200,pending,2025-12-19T22:50:29.380Z
Ffx7wYksWIV7p9BBVIKp,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-19T06:24:43.730Z
Fhlq6jEssa6uJIcqL8W5,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T10:25:14.525Z
FitO9MgjWHmOSwTQZ9qv,votes-artistes,GEVWzgnMyTnavWjEa6pg,1000,pending,2025-12-17T15:26:54.873Z
Fm4gHy3dRaIn4NZMqEo4,votes-artistes,lrK8tSxZpQPYFTmIF7On,100,pending,2025-12-20T07:56:13.313Z
FnlqmdR0gjrkxEwverxD,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-16T19:49:50.761Z
FvdAbHapbO62pRU9c2bX,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T09:00:11.043Z
G7UlSPCuccRAMJYIItkm,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T20:10:22.759Z
